layer,level_from,level_to,G
0,1,2,0.9873077366087172
0,2,3,0.9895445108413696
0,3,4,0.9904677470525106
0,4,5,0.98991918431388
0,5,6,0.9869542095396254
0,6,7,0.988138747215271
0,7,8,0.989971567524804
0,8,9,0.9880087852478028
0,9,10,0.9882140821880765
1,1,2,0.9861854884359572
1,2,3,0.98918979300393
1,3,4,0.9893109440803528
1,4,5,0.9895322375827366
1,5,6,0.9873013456662496
1,6,7,0.9858214735984803
1,7,8,0.9889975097444322
1,8,9,0.9848410685857137
1,9,10,0.9850311160087586
2,1,2,0.9659120082855225
2,2,3,0.9744724260436164
2,3,4,0.975663137435913
2,4,5,0.9817463729116652
2,5,6,0.9752182443936666
2,6,7,0.9733387496736314
2,7,8,0.9765090333090888
2,8,9,0.9648711204528808
2,9,10,0.9716495116551717
3,1,2,0.9346296111742656
3,2,3,0.9630553285280864
3,3,4,0.9577603379885355
3,4,5,0.9662571774588691
3,5,6,0.9532592468791538
3,6,7,0.9576822055710686
3,7,8,0.9600760049290127
3,8,9,0.9488829639222887
3,9,10,0.9568709452946981
4,1,2,0.9153226653734843
4,2,3,0.9532036635610792
4,3,4,0.9447302328215705
4,4,5,0.9584803620974223
4,5,6,0.9422184507052104
4,6,7,0.9485547886954413
4,7,8,0.9470133582750956
4,8,9,0.9397296905517578
4,9,10,0.9455020984013875
5,1,2,0.903655649556054
5,2,3,0.9471622347831726
5,3,4,0.9358951833513048
5,4,5,0.9512423740492927
5,5,6,0.9323306481043497
5,6,7,0.9387728836801317
5,7,8,0.933581550916036
5,8,9,0.924124546845754
5,9,10,0.9324743469556173
6,1,2,0.8948358257611593
6,2,3,0.9339575741026137
6,3,4,0.9351078285111322
6,4,5,0.9423886961407132
6,5,6,0.9176709426773919
6,6,7,0.9296124246385362
6,7,8,0.9233517169952392
6,8,9,0.9163129342926873
6,9,10,0.9235890812344021
7,1,2,0.8796498470836216
7,2,3,0.9142034186257256
7,3,4,0.9182052718268501
7,4,5,0.9272170742352803
7,5,6,0.9064673754904006
7,6,7,0.9173548565970526
7,7,8,0.9136999037530688
7,8,9,0.8989637772242228
7,9,10,0.9124289446406895
8,1,2,0.8638355400827196
8,2,3,0.8921537518501281
8,3,4,0.9029823435677422
8,4,5,0.9045836673842536
8,5,6,0.8891807715098063
8,6,7,0.8980458471510145
8,7,8,0.8928453074561225
8,8,9,0.8799013283517626
8,9,10,0.8953716821140714
9,1,2,0.832878749900394
9,2,3,0.8637502935197618
9,3,4,0.8862487581041124
9,4,5,0.8842864010069106
9,5,6,0.8694592608345879
9,6,7,0.8809668302536011
9,7,8,0.8730780429310269
9,8,9,0.8612222088707818
9,9,10,0.8754171993997362
10,1,2,0.8014388031429714
10,2,3,0.8208988269170125
10,3,4,0.8533677630954318
10,4,5,0.8541581061151292
10,5,6,0.8416505204306708
10,6,7,0.8538654022746616
10,7,8,0.8396110004848905
10,8,9,0.8323188450601365
10,9,10,0.8444955070813497
11,1,2,0.7705444667074416
11,2,3,0.7694050696161058
11,3,4,0.8087768859333462
11,4,5,0.8018258147769504
11,5,6,0.8026472806930542
11,6,7,0.8380707065264384
11,7,8,0.7691098769505819
11,8,9,0.7931366086006164
11,9,10,0.780572219689687
